ASN,Entity
36408,"CDNETWORKSUS-02"
36536,"ENTERHOST-AS"
36542,"SERVERNET"
36666,"GTCOMM"
36791,"PDXHOSTING-01"
36873,"Celtel Nigeria Limited t.a ZAIN"
36887,"UNKNOWN"
36920,"KKON"
36970,"interswitch"
37018,"Galaxy Backbone PLC"
37088,"VDT COMMUNICATIONS LIMITED"
37153,"xneelo"
37170,"UNILAG"
37209,"HYPERIA"
37230,"SWIFTTALK"
37248,"PHASE3TEL"
37269,"ICSL"
37280,"BCL"
37308,"COOLLINK"
37347,"NGCOM"
37377,"Futurecom"
37472,"NIGCOMSAT"
37506,"Zinox"
37521,"Internet-Solutions"
37540,"WINROCK"
37643,"UNKNOWN"
37661,"NRaE1-AS"
37692,"UNKNOWN"
37714,"BITFLUX"
37963,"Hangzhou Alibaba Advertising Co.,Ltd."
38001,"NewMedia Express Pte Ltd"
38107,"CDNetworks"
38279,"IOMNET-AS ISP/Hosting service Provider Manila"
38283,"CHINANET SiChuan Telecom Internet Data Center"
38814,"MEGA VANTAGE INFORMATION TECHNOLOGY (HONG KONG) LIMITED"
38894,"manageNET Pty Ltd hosting services"
39020,"Comvive Servidores S.L."
39326,"HighSpeed Office Limited"
39351,"31173 Services AB"
39392,"SuperNetwork s.r.o."
39451,"Melbourne Server Hosting Ltd"
39458,"Real Hosts Limited"
39572,"DataWeb Global Group B.V."
39756,"Easyhost Srl"
39839,"DK Hostmaster A/S"
40156,"THEOPT-HOU"
40244,"TURNKEY-INTERNET"
40281,"QWKNET"
40355,"SUNDANCE-NET"
40374,"HIDHO"
40438,"CANHOST-INC"
40539,"PROHCI"
40676,"HostUS"
40715,"DATACENTER-BZ"
40728,"GEARHOST"
40819,"VPSDATACENTER"
40824,"WZCOM"
40861,"PARAD-40-ASN"
41062,"ProstoHosting LTD"
41079,"H88 S.A."
41369,"Valtti Kumppanit Oy"
41427,"Datacenter d.o.o."
41562,"Host4all Sarl"
41653,"Aqua Ray SAS"
41665,"Tehnologii Budushego LLC"
42120,"MODIT Informatikai Zrt."
42160,"lcp nv"
42210,"NetActuate Inc"
42244,"Hosting Operator eServer.ru Ltd."
42311,"Patrick Gaertke"
42331,"PE Freehost"
42399,"Jsc ru-center"
42400,"UNKNOWN"
42418,"Hostnordic A/S"
42442,"Adacor Hosting GmbH"
42465,"Forcepoint Cloud Ltd"
42473,"ANEXIA Internetdienstleistungs GmbH"
42570,"Nagravision SA"
42612,"DinaHosting S.L."
42622,"Teknik i Media Datacenter Stockholm AB"
42695,"City Network Hosting AB"
42699,"managedhosting.de GmbH"
42705,"Talia Limited"
42708,"GleSYS AB"
42730,"EVANZO e-commerce GmbH"
42776,"Hostel Ltd."
42831,"UK Dedicated Servers Limited"
42926,"Radore Veri Merkezi Hizmetleri A.S."
43021,"Certit Hosting Handelsbolag"
43146,"Domain names registrar REG.RU, Ltd"
43198,"UNKNOWN"
43289,"I.C.S. Trabia-Network S.R.L."
43317,"Fishnet Communications LLC"
43444,"Blockchain Network Solutions Ltd"
43472,"HostingMax LTD"
43541,"VSHosting s.r.o."
43620,"Timico Managed Services Ltd"
44050,"Petersburg Internet Network ltd."
44066,"First Colo GmbH"
44220,"Parfumuri Femei.com SRL"
44398,"Itadel A/S"
44901,"Belcloud LTD"
45102,"Alibaba (US) Technology Co., Ltd."
45152,"Zone Networks Pty Ltd, Managed Hosting Solutions"
45179,"SiteHost New Zealand"
45187,"Rackspace IT Hosting AS IT Hosting Provider Hong Kong"
45201,"Nexon Asia Pacific Pty Ltd"
45470,"8 to Infinity Pte Ltd"
45481,"Digital Sense Data Centre Hosting Brisbane"
45486,"HostCorp Internet"
45577,"Intervolve Pty Ltd"
45671,"Wholesale Services Provider"
45693,"UNKNOWN"
45815,"ESDS Software Solution Pvt. Ltd."
45839,"Shinjiru Technology Sdn Bhd"
45887,"GPLHost LLC"
46015,"Exa Bytes Network Sdn.Bhd."
46176,"KKING"
46177,"WINTERTON-N2-SIMPLECDN"
46260,"UNKNOWN"
46261,"QUICKPACKET"
46430,"ASN-VICTON"
46433,"ADF01"
46475,"LIMESTONENETWORKS"
46562,"TOTAL-SERVER-SOLUTIONS"
46573,"LAYER-HOST"
46606,"UNIFIEDLAYER-AS-1"
46664,"VDI-NETWORK"
46805,"Inter Connects Inc"
46816,"DSNETWORKS-001"
46844,"ST-BGP"
46873,"HOSTCOLOR"
46945,"ELITEHOSTS"
47143,"Todayhost Limited"
47161,"KosmoHost IT Technologies LTD"
47172,"Greenhost BV"
47205,"Telia Lietuva, AB"
47328,"True Records Inc."
47385,"Jsc ru-center"
47447,"23media GmbH"
47549,"Hosting Systems Ltd"
47577,"Righthosting Ltd"
47583,"Hostinger International Limited"
47588,"Tel Communications L.L.C."
47625,"Hosting Systems"
47869,"Netrouting"
48093,"Webland AB"
48446,"Hostersi Sp. z o.o."
48812,"DataCenter Noord BV"
48825,"Fast4networks Ltd"
48896,"dhosting.pl Sp. z o.o."
49313,"Seva-Host Ltd"
